# angle in degree, follower displacement, angle in radian, cam radial distance
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000000e+00,2.000000000000000042e-03,1.745329251994329547e-02,1.000200000000000067e+01
2.000000000000000000e+00,8.000000000000000167e-03,3.490658503988659095e-02,1.000799999999999912e+01
3.000000000000000000e+00,1.800000000000000211e-02,5.235987755982988989e-02,1.001800000000000068e+01
4.000000000000000000e+00,3.200000000000000067e-02,6.981317007977318190e-02,1.003200000000000003e+01
5.000000000000000000e+00,5.000000000000000278e-02,8.726646259971647390e-02,1.005000000000000071e+01
6.000000000000000000e+00,7.200000000000000844e-02,1.047197551196597798e-01,1.007199999999999918e+01
7.000000000000000000e+00,9.800000000000000377e-02,1.221730476396030718e-01,1.009800000000000075e+01
8.000000000000000000e+00,1.280000000000000027e-01,1.396263401595463638e-01,1.012800000000000011e+01
9.000000000000000000e+00,1.620000000000000051e-01,1.570796326794896558e-01,1.016200000000000081e+01
1.000000000000000000e+01,2.000000000000000111e-01,1.745329251994329478e-01,1.019999999999999929e+01
1.100000000000000000e+01,2.419999999999999929e-01,1.919862177193762398e-01,1.024200000000000088e+01
1.200000000000000000e+01,2.880000000000000338e-01,2.094395102393195596e-01,1.028800000000000026e+01
1.300000000000000000e+01,3.380000000000000226e-01,2.268928027592628516e-01,1.033799999999999919e+01
1.400000000000000000e+01,3.920000000000000151e-01,2.443460952792061436e-01,1.039199999999999946e+01
1.500000000000000000e+01,4.500000000000000111e-01,2.617993877991494078e-01,1.044999999999999929e+01
1.600000000000000000e+01,5.120000000000000107e-01,2.792526803190927276e-01,1.051200000000000045e+01
1.700000000000000000e+01,5.779999999999999583e-01,2.967059728390360474e-01,1.057799999999999940e+01
1.800000000000000000e+01,6.480000000000000204e-01,3.141592653589793116e-01,1.064799999999999969e+01
1.900000000000000000e+01,7.219999999999999751e-01,3.316125578789226314e-01,1.072199999999999953e+01
2.000000000000000000e+01,8.000000000000000444e-01,3.490658503988658956e-01,1.080000000000000071e+01
2.100000000000000000e+01,8.820000000000000062e-01,3.665191429188092154e-01,1.088199999999999967e+01
2.200000000000000000e+01,9.679999999999999716e-01,3.839724354387524796e-01,1.096799999999999997e+01
2.300000000000000000e+01,1.058000000000000052e+00,4.014257279586957994e-01,1.105799999999999983e+01
2.400000000000000000e+01,1.152000000000000135e+00,4.188790204786391191e-01,1.115200000000000102e+01
2.500000000000000000e+01,1.250000000000000000e+00,4.363323129985823834e-01,1.125000000000000000e+01
2.600000000000000000e+01,1.352000000000000091e+00,4.537856055185257032e-01,1.135200000000000031e+01
2.700000000000000000e+01,1.457999999999999963e+00,4.712388980384689674e-01,1.145800000000000018e+01
2.800000000000000000e+01,1.568000000000000060e+00,4.886921905584122872e-01,1.156799999999999962e+01
2.900000000000000000e+01,1.681999999999999940e+00,5.061454830783556069e-01,1.168200000000000038e+01
3.000000000000000000e+01,1.800000000000000044e+00,5.235987755982988157e-01,1.180000000000000071e+01
3.100000000000000000e+01,1.921999999999999931e+00,5.410520681182421354e-01,1.192200000000000060e+01
3.200000000000000000e+01,2.048000000000000043e+00,5.585053606381854552e-01,1.204800000000000004e+01
3.300000000000000000e+01,2.177999999999999936e+00,5.759586531581287749e-01,1.217800000000000082e+01
3.400000000000000000e+01,2.311999999999999833e+00,5.934119456780720947e-01,1.231199999999999939e+01
3.500000000000000000e+01,2.450000000000000178e+00,6.108652381980153034e-01,1.244999999999999929e+01
3.600000000000000000e+01,2.592000000000000082e+00,6.283185307179586232e-01,1.259200000000000053e+01
3.700000000000000000e+01,2.737999999999999989e+00,6.457718232379019430e-01,1.273799999999999955e+01
3.800000000000000000e+01,2.887999999999999901e+00,6.632251157578452627e-01,1.288799999999999990e+01
3.900000000000000000e+01,3.042000000000000259e+00,6.806784082777884715e-01,1.304199999999999982e+01
4.000000000000000000e+01,3.200000000000000178e+00,6.981317007977317912e-01,1.319999999999999929e+01
4.100000000000000000e+01,3.362000000000000099e+00,7.155849933176751110e-01,1.336200000000000010e+01
4.200000000000000000e+01,3.528000000000000025e+00,7.330382858376184307e-01,1.352800000000000047e+01
4.300000000000000000e+01,3.697999999999999954e+00,7.504915783575617505e-01,1.369800000000000040e+01
4.400000000000000000e+01,3.871999999999999886e+00,7.679448708775049592e-01,1.387199999999999989e+01
4.500000000000000000e+01,4.049999999999999822e+00,7.853981633974482790e-01,1.405000000000000071e+01
4.600000000000000000e+01,4.232000000000000206e+00,8.028514559173915988e-01,1.423199999999999932e+01
4.700000000000000000e+01,4.418000000000000149e+00,8.203047484373349185e-01,1.441799999999999926e+01
4.800000000000000000e+01,4.608000000000000540e+00,8.377580409572782383e-01,1.460800000000000054e+01
4.900000000000000000e+01,4.802000000000000490e+00,8.552113334772214470e-01,1.480199999999999960e+01
5.000000000000000000e+01,5.000000000000000000e+00,8.726646259971647668e-01,1.500000000000000000e+01
5.100000000000000000e+01,5.198000000000000398e+00,8.901179185171080865e-01,1.519800000000000040e+01
5.200000000000000000e+01,5.392000000000000348e+00,9.075712110370514063e-01,1.539199999999999946e+01
5.300000000000000000e+01,5.582000000000000739e+00,9.250245035569946150e-01,1.558200000000000074e+01
5.400000000000000000e+01,5.768000000000000682e+00,9.424777960769379348e-01,1.576800000000000068e+01
5.500000000000000000e+01,5.950000000000001066e+00,9.599310885968812546e-01,1.595000000000000107e+01
5.600000000000000000e+01,6.128000000000000114e+00,9.773843811168245743e-01,1.612800000000000011e+01
5.700000000000000000e+01,6.301999999999998714e+00,9.948376736367678941e-01,1.630199999999999960e+01
5.800000000000000000e+01,6.471999999999999531e+00,1.012290966156711214e+00,1.647200000000000131e+01
5.900000000000000000e+01,6.637999999999999901e+00,1.029744258676654534e+00,1.663799999999999812e+01
6.000000000000000000e+01,6.799999999999998934e+00,1.047197551196597631e+00,1.679999999999999716e+01
6.100000000000000000e+01,6.958000000000000185e+00,1.064650843716540951e+00,1.695799999999999841e+01
6.200000000000000000e+01,7.112000000000000099e+00,1.082104136236484271e+00,1.711200000000000188e+01
6.300000000000000000e+01,7.261999999999999567e+00,1.099557428756427591e+00,1.726200000000000045e+01
6.400000000000000000e+01,7.408000000000000362e+00,1.117010721276370910e+00,1.740800000000000125e+01
6.500000000000000000e+01,7.549999999999999822e+00,1.134464013796314230e+00,1.755000000000000071e+01
6.600000000000000000e+01,7.688000000000000611e+00,1.151917306316257550e+00,1.768800000000000239e+01
6.700000000000000000e+01,7.822000000000000064e+00,1.169370598836200870e+00,1.782199999999999918e+01
6.800000000000000000e+01,7.952000000000001734e+00,1.186823891356144189e+00,1.795200000000000173e+01
6.900000000000000000e+01,8.077999999999999403e+00,1.204277183876087287e+00,1.807799999999999940e+01
7.000000000000000000e+01,8.199999999999999289e+00,1.221730476396030607e+00,1.819999999999999929e+01
7.100000000000000000e+01,8.317999999999999616e+00,1.239183768915973927e+00,1.831799999999999784e+01
7.200000000000000000e+01,8.431999999999998607e+00,1.256637061435917246e+00,1.843199999999999861e+01
7.300000000000000000e+01,8.541999999999999815e+00,1.274090353955860566e+00,1.854200000000000159e+01
7.400000000000000000e+01,8.647999999999999687e+00,1.291543646475803886e+00,1.864799999999999969e+01
